001001:0:  te:  %agira% pu0<vp> na gIryyate duHKena</vp><vkr> gF-bA0 ka</vkr> na0 ta0.(1) svarge.</1><page>vp1_052.pdf</page><column>1</column><br/>
001002:1:  te:  %agirOkas% pu0<vg> agiraH svarga oko vAsasTAnaM yasya.</vg>(1) deve.</1><page>vp1_052.pdf</page><column>1</column><br/>
001003:0:  te:  %agu% pu0<vp> na gOH kiraRo'sya.<vp> (1) rAhugrahe sUryyAlokABAve
001062:0:  te: yaTA <q>yadagneH rohitaM rUpaM tejasastadrUpaM, yacCuklaM
001063:2:  te: tadapAM, yat kfzRaM tadannasyeti<q> vivftaYcEtadBAzyakftA <q>yatta
001064:0:  te: ddevatAnAM trivftkaraRamuktaM tasyEvodAharaRamucyate.</reN><reN> udA
001065:0:  te: haraRaM nAmEkadeSaprasidDyASezaprasidDyarTamudAhriyata iti
001066:0:  te: tadetadAha yadagneH trivftkftasya rohitaM rUpaM prasidDaM loke
001067:0:  te: tadatrivftkftasya tejaso rUpamiti vidDi. taTA yacCuklaM
001068:0:  te: rUpamagneH tadapAmatrivftkftAnAmeva yat kfzRaM tasyEvAgneH
001069:0:  te: rUpaM tadannasya pfTivyA atrivftkftAyA iti vidDIti
001070:0:  te: ata eva tattacCAstrakAvyAdizu vahneraruRarUpatayA varRanaM
001071:0:  te: dfSyate. agnimUrttiDyAne ca aruRarUpatvamanupadaM darSayi
001072:1:  te: zyate. loke cAruRatvenEva pratyakzeRAsAvupalaByate evaYca
001073:0:  te: nEyAyikoktaM tejasaH SuklaBAsvararUpatvaM pratyakzavedavirudDatvA
001074:0:  te: dupekzyameva. tatra BOmadivyayoH prAyaSo lokasidDatvena divya
001075:0:  te: syAgre divyaSabde vakzyamARatvAcca jAWare vahnO viSezo
001076:1:  te: 'BiDIyate.</vn><reN> <q>nABerurdDvaM hfdayAdaDastAdAmASayamAcakzate
001077:0:  te: tadgataM sOraM tejaH pittamityAcakzate<q> iti BAzyavivaraRe
001078:0:  te: AnandagiriH vEdyakavacanatvenovAca. ata eva tasya kOkzeya
001079:1:  te: iti saMjYA.</reN><reN> CAndogye ca <q>yA hfdayasya nAqyastAH
001080:0:  te: piNgalAScARimnastizWanti Suklasya nIlasya pItasya lohitasye
001081:0:  te: tyasO vA AdityaH piNgalaH eza Sukla eza nIla eza pIta
001082:0:  te: eza lohita iti<q>.</reN><vn> vyAKyAtaYcEtat BAzyakftA
001083:0:  te: aTa yA etA vakzyamARA hfdayasya puRqarIkAkArasya brahmo
001084:0:  te: pAsanasTAnasya sambanDinyo nAqyo hfdayamAMsapiRqAtsarvato
001085:0:  te: viniHsftA AdityamaRqalAdiraSmayastAScEtAH piNgalasya
001086:0:  te: varRaviSezaviSizwasyARimnaH sUkzmarasasya rasena pUrRAstadAkArA
001087:0:  te: eva tizWanti varttanta ityarTaH. taTA Suklasya nIlasya pItasya
001088:0:  te: lohitasya ca rasasya pUrRA iti sarvatrADyAhAryyam
001089:0:  te: sEreRa tejasA pittAKyena pAkABinirvfttena kaPenAlpena
001090:1:  te: samparkAtpiNgalaM Bavati, sOraM tejaH pittAKyam. tadeva
001091:0:  te: vAtaBUyastvAnnIlaM Bavati. tadeva ca kaPaBUyastvAcCuklaM
001092:0:  te: kaPena samatAyAM pittam, SoRitabAhulyena lohitam
001093:0:  te: vEdyakAdvA varRaviSezA anvezwavyAH. kaTaM BavatIti ? Sruti
001094:0:  te: stvAhAdityasambanDAdeva, tattejaso nAqIzvanugatasyEte varRa
001095:0:  te: viSezA<q> iti.</vn><reN> kaTamasO vA'dityaH piNgalo<q>? varRata eza
001096:0:  te: AdityaH Suklo'pyeza nIla eza pIta eza lohita Aditya
001097:0:  te: eva, tasya cAnnarasasya DAtvantarasamparkavaSAt varRaviSeza
001098:0:  te: ityAnandagiriH.</reN><reN> asyEva jAWarasya pipAsAhetutvaM CAndogye
001099:0:  te: uktaM yaTA <q>aTa yatrEtat puruzaH pipAsati nAma teja evE
001100:0:  te: tat pItaM nayate iti<q>.</reN><vn> vyAKyAtaYca BAzyakftA dravakftasyA
001101:0:  te: SitasyAnnasya netryaH Apo'nnaSuNgaM dehaM kledayantyaH SiTi
001102:0:  te: lIkuryyuH abbAhulyAt, yadi tejasA na Sozyeta. nita
001103:0:  te: rAYca tejasA SozyamARAsvapsu dehaBAvena pariRamamAnAsu
001104:0:  te: pAtumicCA pipAsA puruzasya jAyate tadA puruzaH pipA
001105:0:  te: sati nAma,</vn><reN> tadetadAha <q>teja eva tattadA pItamabAdi Soza
001106:0:  te: yat dehalohitAdiBAvena nayate pariRamayatIti<q>.</reN><reN> tasya
001107:1:  te: rasapAkaprakAramAha yogArRave. <q>AyuzyaM BuktamAhAraM
001108:0:  te: sa vAyuH kurute dviDA saMpraviSyAnnamaDyantu, pfTak kiwwaM
001109:0:  te: pfTag jalam (kiwwam annamalaBedam). agnerUrdDvaM
001110:0:  te: ca saMsTApya tadannaM ca jalopari. jalasyADaH svayaM prARaH
001111:1:  te: sTitvAgniM Damate SanEH (Damate sanDukzayati) vAyunA
001112:0:  te: DmAyamAno'gniratyuzRaM kurute jalam. annaM taduzRatoyena
001113:1:  te: samantAt pacyate punaH. dviDA Bavati tat pakvaM pfTak kiwwaM
001114:0:  te: pfTag rasam. rasena tena tA nAqIH prARaH pUrayate punaH
001115:1:  te: pratyarpayanti sampUrRArasAni tAH samantata iti<q>.</reN><reN> evaM rasa
001116:0:  te: pAkottaraM DAtupAko'BihitaH padArTAdarSe. yaTA <q>tvaga
001117:1:  te: sfgmAMsamedo'sTimajjaSukrARi DAtavaH. sapta syustatra
001118:0:  te: coktA tvak raktajodaravahninA. pakkAdBavedannarasAdevaM raktA
001119:0:  te: diBistaTA. svasvakoSAgninA pAkAt prajAyante tvagA
001120:1:  te: daya iti<q>.</reN><reN> etanmUlameva <q>tasya zoQA SarIrARi zaw tvaco
001121:0:  te: DArayanti ceti<q> yAjYavalkyavacanavyAKyAyAM mitAkzarAkftA
001122:0:  te: spazwamuktam yaTA tasyAtmano yAni jarAyujARqajAdIni
001123:0:  te: SarIrARi tAni pratyekaM zawprakArARi raktAdizaqDAtupari
001124:0:  te: pAkahetuBUtazaqagnisTAnayogitvena.</reN><reN> taTAhi annaraso
001125:1:  te: jAWaravahninA pacyamAno raktatAM pratipadyate, raktaH svakoSa
001126:0:  te: sTAgninA pacyamAnaM mAMsatvam, mAMsaYca svakoSasTAnalapari
001127:0:  te: pakkaM medastvam, medo'pi svakoSavahninA pakkamasTitAm
001128:1:  te: asTyapi svakoSaSiKiparipakkaM majjatvam, majjApi
001129:0:  te: svakoSapAvakaparipacyamAnaM caramaDAtutayA pariRamate iti
001130:0:  te: jAWarasya prakArAntareRa pAcanAdidaSaviDakarmmakAritvAt
001131:0:  te: daSaviDatvamuktaM padArTAdarSe yaTA <q>BrAjakoraYjakaScEva kledakaH
001132:0:  te: snehakastaTA DArako banDakasyEva drAvakAKyaSca saptamaH
001133:0:  te: vyApakaH pAcakaScEva Slezmako daSaDA mata iti
001134:0:  te: vEdyake cAsya caturviDakAryyaviSezakAritvAccAturviDyamuktam
001135:0:  te: vizamaSca samastIkzRo mandaSceti caturviDaH. kaPapittAna
001136:0:  te: lADikyAt tatsAmyAjjAWaro'nalaH. vizamo vAtajAn
001137:1:  te: rogAn, tIkzRaH pittasamudBavAn, karotyagnistaTA mando
001138:0:  te: vikArAn kaPasamBavAn. samAH samo'gniraSitamAtrAH
001139:0:  te: samyak pacatyasO<q> iti..</reN><vn> agneratitIkzRatve BasmakasaMjYA
001140:0:  te: sa hi samyagAhArABAve SoRitAdiDAtUnapi pAcayitvA
001141:1:  te: ASu dehaM nASayatIti rakzitaH Aha sma. aDikaM kAyaSabde
001142:1:  te: vakzyate. bAhyasya BOmasyAgneH karmmaviSeze nAmAnyuktAni
001143:0:  te: viDAnapArijAte.</vn><reN> yaTA
001144:0:  te: lOkike pAvako hyagniH praTamaH parikIrttitaH. agnistu
001145:0:  te: mAruto nAma garBADAne prakIrttitaH.. puMsave camaso nAma
001146:0:  te: SoBanaH SuBakarmmasu. (SuNgakarmmaRIti raGu0). tacca sImantA
001147:1:  te: ntargatakarmmaBedaH. sImante hyanalo nAma pragalBo jAta
001148:0:  te: karmmaRi.. pArTivo nAmakaraRe prASane'nnasya vE SuciH
001149:1:  te: saByanAmA tu cUqAyAM vratAdeSe samudBavaH.. godAne sUryya
001150:0:  te: nAmA syAt keSAnte yAjakaH smftaH .vESvAnaro visarge
001151:0:  te: syAdvivAhe valadaH smftaH .. caturTIkarmmaRi SiKI
001152:0:  te: DftiragnistaTA'pare. (apare karmmaRi)<q> AvasaTyastaTA
001153:1:  te: DAne vESvadeve tu pAvakaH. brahmAgnirgArhapatye syAddakziRA
001154:0:  te: gniraTeSvaraH. vizRurAhavanIye syAdagnihotre trayo matAH
001155:0:  te: lakzahome'BIzwadaH syAt kowihome mahASanaH. eke GftA
001156:0:  te: rcizAM prAhuragniDyAnaparAyaRAH.. rudrAdO tu mfqo nAma
001157:0:  te: SAntike SuBakfttaTA. AdiSabdAt laGurudraSatarudrAtirudrA
001158:0:  te: lakzyante. (pUrRAhutyAM mfqo nAmeti raGu0). pOzwike varada
001159:0:  te: ScEva kroDAgniScABicArake. vaSyArTe vaSakft prokto vana
001160:1:  te: dAhe tu pozakaH. udare jaWaro nAma kravyAdaH SavaBakzaRe
001161:0:  te: samudre vAqavo hyagnirlaye saMvarttakastaTA.. saptaviMSati
001162:1:  te: saNKyAtA agnayaH karmasu smftAH. taM tamAhUya hotavyaM
001163:0:  te: yo yatra vihito'nalaH.. anyaTA viPalaM karma sarvvaM tadrAkza
001164:0:  te: samBavet . AdityAdigrahARAM ca sAmprataM hyagnirucyate
001165:0:  te: Aditye kapilo nAma piNgalaH soma ucyate. DUmaketu
001166:2:  te: staTA BOme jaWaro'gnirbuDe smftaH.. bfhaspatO SiKI nAma
001167:0:  te: Sukre Bavati hAwakaH. SanEScare mahAtejA rAhO ketO hutA
001168:0:  te: SanaH iti..</reN><reN><q> yajYAdO tu paYca BedAH <q>AvasaTyAhavanIyO
001169:0:  te: dakziRAgnistaTEva ca. anvAhAryyo gArhapatya ityete paYca
001170:0:  te: vahnayaH<q> iti SA0 rAGa0.</reN><reN> <q>paYcAgnayo ye ca triRAci
001171:0:  te: ketA<q> iti SrutiH.</reN><reN> agnerDyeyarUpaM yaTA <q>rudratejaH samudBUtaM
001172:0:  te: dvimUrdDAnaM dvinAsikam. zaRnetraM ca catuH SrotraM tripAdaM sapta
001173:1:  te: hastakam. yAmyaBAge caturhastaM savyaBAge trihastakam
001174:0:  te: sruvaM srucaYca SaktiM ca akzamAlAM ca dakziRe. tomaraM
001175:0:  te: vyajanaM cEva GftapAtrantu vAmake. biBrataM saptaBirhastErdvimuKaM
001176:0:  te: saptajihvakam. dakziRaYca caturjihvaM trijihvamuttaraM muKam
001177:1:  te: dvAdaSakowimUrttyAKyaM dvipaYcASatkalAyutam. svAhAsvaDA
001178:0:  te: vazawkArEraNkitaM mezavAhanam. raktamAlyAmbaraDaraM raktaM
001179:0:  te: padmAsanasTitam.. rOdraM tu vahninAmAnaM vahnimAvAha
001180:0:  te: yAmyaham<q>. iti rudrakalpaH.</reN><vn> agnerBOtikatve'pi karmmA
001181:0:  te: NgahomasADanatayA evaM DyAtavyatA
001182:1:  te: agnyaBimAnini cetanADizWite SarIrAdAvapi upacArAt
001183:0:  te: agniSabdaprayogaH. </1><reN> agnyaDizWAtari devaBede <q>agniM dUtaM
001184:0:  te: vfRImahe hotAraM viSvavedasa<q>mityAdO vede tasyEva AhvAna
001185:0:  te: pUrvakopAsyatvamuktam.</reN> (2) tadaDizWitadehaBede'pi,</2><vn> sa eva viSva
001186:0:  te: narAjjanmAsAdya agnilokADipatyaM cakAreti kASIKaRqe
001187:0:  te: uktaM tatkaTA vESvAnaraSabde vakzyate.</vn>(3) agnidevatAke kftti
001188:0:  te: kAnakzatre</3><vn> <q>aSviyamadahane<q>tyAdinA jyotize kfttikA
001189:0:  te: nakzatrasya tatsvAmikatvokteH taddevatAke pratipattiTO vahne
001190:0:  te: stadADipatyaM tiTiSabde vakzyate.</vn><reN> tasya bahutve'pi veda
001191:0:  te: trayaBedena dakziRAgnigArhapatyAhavanIyanAmatayA prADAnyena
001192:0:  te: tritvAt <q>praDAnena vyapadeSA BavantIti<q> nyAyAt tat
001193:3:  te: saNKyAsadfSasaNKyAke tritvasaNKyAnvite, svodayAt svAgni
001194:0:  te: labDaM <q>yadBuktaM BogyaM ravestyajediti<q> nIlakaRWaH
001195:1:  te: citrakavfkze </4><vn>(cite) svarRe tasya tattejojAtatvAttaTA tat
001196:0:  te: kaTA agniretaHSabde vakzyate.<vn> (5) BallAtakavfkze (BelA) (6) nimbuka
001197:0:  te: vfkze (nevu) (7) pitte DAtO tasya tadutpannatvAttaTA yaTA ca
001198:0:  te: tasya tadutpannatvaM taToktaM prAk. (8) tatsvAmike agnikoRe
001199:0:  te: ca.</8><reN> evamagnivAcakAH sarve'pi SabdAH kfttikAnakzatrAdO
001200:0:  te: varttante. vittaM brahmaRi kAryyasidDiratulA Sakre hutASe
001201:0:  te: Bayamiti tiTita0.</reN><reN> <q>hutASe agnikoRe<q> analaviDuSatA
001202:0:  te: Kyeti<q> jyotizam. (analaH kfttikA) evaM yaTAyaTamudA
001203:0:  te: hAryyam
001204:0:  te: agnyaBimAninaSca devAH kuta utpannAH ? kasmin kasmin
001205:0:  te: karmmaRi? vA tezAmaDizWAtftvaM taduktaM BArate
001206:0:  te: aNgirA uvAca kuru puRyaM prajAsargaM BavAgnistimirApahaH. mAYca
001207:0:  te: deva! kfruzvAgne! praTamaM puttramaYjasA.. tacCrutvA'Ngiraso vAkyaM
001208:1:  te: jAtavedAstadA'karot. rAjan!. bfhaspatirnAma tasyApyaNgi
001209:0:  te: rasaH sutaH. jYAtvA praTamajaM tantu vahnerANgirasaM sutam
001210:0:  te: upetya devA papracCuH kAraRaM tatra BArata. sa tu pfzwa
001211:0:  te: stadA devEstataH kAraRamabravIt. pratyagfhRaMstu devASca
001212:0:  te: tadvaco'NgirasastadA. tatra nAnAviDAnagnIn pravakzyAmi
001213:0:  te: mahApraBAn . karmmaBirbbahuBiH KyAtAnnAnArTAn brAhmaRe
001214:0:  te: zviha. va0 mArka0 sa0 216 aDyA
001215:1:  te: brahmaRo yastftIyastu puttraH kurukulodvaha!. tasyABavat SuBA
001216:3:  te: BAryyA prajAstasyAYca me SfRu. bfhatkIrttirvfhajjyotirbfha
001217:4:  te: dbrahmA bfhanmanAH. bfhanmantro bfhadBAsastaTA rAjan! bfha
001218:1:  te: spatiH. prajAsu tAsu sarvAsu rUpeRApratimA'Bavat. deva
001219:0:  te: BAnumatI nAma praTamA'NgirasaH sutA. BUtAnAmiva sarvezAM
001220:0:  te: tasyAM rAgastadA'Bavat. rAgAdrAgeti yAmAhurdvitIyA
001221:0:  te: 'NgirasaH sutA. yAM kaparddisutAmAhurdfSyAdfSyeti dehinaH
001222:0:  te: tanutvAt sA sinIbAlI tftIyA'NgirasaH sutA. paSyatya
001223:0:  te: rccizmatI BABirhavirBiSca havizmatI. mahAmaKezvANgi
001224:1:  te: rasI dIptimatsu mahAmate!. mahAyatIti viKyAtA saptamI
001225:0:  te: kaTyate sutA. yAntu dfzwvA BagavartI janaH kuhukuhAyate
001226:0:  te: ekAnaMSeti tAmAhuH kuhUmaNgirasaH sutAm. 317 a
001227:0:  te: bfhaspateScAndramasI BAryyA'BUdyA yaSasvinI. agnIn
001228:1:  te: sA'janayat putrAn zaqekAYcApi putrikAm. Ahuti
001229:1:  te: zveva yasyAgnerhavizAjyaM viDIyate. so'gnirbfhaspateH putraH
001230:0:  te: SaMyurnAma mahAvrataH. cAturmmAsyezu yasyezwyAmaSvameDe'grajaH
001231:0:  te: paSuH. dIpto jvAlEranekABEragnirezo'Ta vIryyavAn
001232:1:  te: SaMyorapratimA BAryyA satyA'satyA'Ta Darmmaja!.. agnistasya
001233:0:  te: suto dIptastisraH kanyASca suvratAH. praTamenAjyaBAgena pUjyate
001234:0:  te: yo'gniraDvare.. agnistasya BaradvAjaH praTamaH puttra ucyate
001235:1:  te: pOrRamAsyezu sarvezu havizAjyaM srucodyatam.. Barato
001236:0:  te: nAmataH so'gnirdvitIyaH SaMyutaH sutaH. tisraH kanyA
001237:1:  te: BavantyanyA yAsAM sa BarataH patiH. Baratastu sutastasya
001238:0:  te: BaratyekA ca puttrikA. Barato BaratasyAgneH pAvakastu
001239:0:  te: prajApateH. mahAnatyarTa mahitastaTA BaratasattamaH. Bara
001240:0:  te: dvAjasya BAryyA tu vIrA vIrasya piRqadA. prAhurAjyena
001241:0:  te: tasyejyAM somasyeva dvijAH SanEH. havizA yo dvitIyena
001242:0:  te: somena saha yujyate. raTapraBUraTADvAnaH kumBaretAH sa
001243:2:  te: ucyate. sarayvAM janayan sidDiM BAnuM BABiH samA
001244:1:  te: vfRot. AgneyaM mAnayannityamADAne hyeza sUyate. yastu
001245:0:  te: na cyavate nityaM yaSasA varccasA SriyA. agnirniScya
001246:0:  te: vano nAma pfTivIM stOti kevalam. vipApmA kaluzErmukto
001247:0:  te: viSudDaScArccizA jvalan. vipApo'gniH sutastasya satyaH
001248:1:  te: samayaDarmmakft. akroSatAM hi BUtAnAM yaH karoti hi
001249:0:  te: nizkftim. agniH sa nizkftirnAma SoBayatyaBise
001250:0:  te: vitaH. anukUjanti yeneha vedanArttAH svayaM janAH
001251:0:  te: tasya puttraH svano nAma pAvakaH sa rujaskaraH. yastu viSvasya
001252:0:  te: jagato budDimAkramya tizWati. taM prAhuraDyAtmavido
001253:0:  te: viSvajinnAmapAvakam. antaragniH smfto yastu BuktaM pacati
001254:0:  te: dehinAm. sa jajYe viSvaBuNnAma sarvalokezu BArata
001255:0:  te: brahmacArI yatAtmA ca satataM vipulavratAH. brAhmaRAH
001256:0:  te: pUjayantyenaM pAkayajYezu pAvakam. pavitrA gotamI nAma
001257:0:  te: nadI yasyA'Bavat priyA. tasmin karmmARi sarvARi
001258:0:  te: kriyante DarmmakartfBiH. vaqavAgniH pibatyamBo yo'sO
001259:0:  te: paramadAruRaH. UrdDvaBAgUrdDvaBAN nAma kaviH prARASrita
001260:0:  te: stu yaH. udagDAraM haviryasya gfhe nityaM pradIyate
001261:0:  te: tataH svizwaM BavedAjyaM svizwakft paramaH smftaH. yaH
001262:0:  te: praSAntezu BUtezu manyurBavati pAvakaH. krudDasya tarasA jajYe
001263:1:  te: manyantI cATa putrikA. svAheti dAruRA krUrA sarvaBUtezu
001264:1:  te: tizWati. tridive yasya sadfSo nAsti rUpeRa kaScana
001265:2:  te: atulyatvAt kfto devErnAmnA kAmastu pAvakaH. saMharzA
001266:0:  te: dDArayan kroDaM DanvI sragvI raTe sTitaH. samaye nASayecCatrU
001267:0:  te: namoGo nAma pAvakaH. ukTo nAma mahABAga. triBi
001268:0:  te: rukTEraBizwutaH. mahAvAcantvajanayat samASvAsaM hi yaM
001269:0:  te: viduH. 218 a
001270:0:  te: kASyapo hyaTa vASizWaH prARaSca prARaputtrakaH. agnirA
001271:0:  te: NgirasaScEva cyavanastrisuvarccakaH. acarat sa tapastIvraM
001272:1:  te: putrArTe bahuvArzikam. puttraM laBeyaM DarmmizWaM yaSasA
001273:0:  te: brahmaRA samam. mahAvyAhftiBirDyAtaH paYcaBistEstadA
001274:0:  te: tvaTa. jajYe tejo mahArcizmAn paYcavarRaH praBAvanaH
001275:0:  te: samidDo'gniH Sirastasya bAhU sUryyaniBO taTA. tvaNnetre
001276:3:  te: ca suvarRABe kfzRe jaNGe ca BArata!. paYcavarRaH sa tapasA
001277:0:  te: kftastEH paYcaBirjanEH. pAYcajanyaH Sruto devaH paYcavaMSa
001278:0:  te: karastu saH. daSa varzasahasrARi tapastatvA mahAtapAH
001279:1:  te: janayat pAvakaM GoraM pitFRAM sa prajAH sfjat. bfha
001280:0:  te: draTantaraM mUrdDno vaktrAdvA tarasA harO. SivaM nAByAM balA
001281:0:  te: dindraM vAyvagnI prARato'sfjat. bAhuByAmanudAttO ca
001282:0:  te: viSvABUtAni cEva ha. etAn dfzwvA tataH paYca pitFRA
001283:1:  te: masfjat sutAn. bfhadraTasya praRiDiH kaSyapasya maha
001284:0:  te: ttaraH. BAnuraNgiraso DIraH putro varccasya sOBaraH
001285:0:  te: prARasya cAnudAttastu vyAKyAtAH paYcaviMSatiH. devAn
001286:1:  te: yajYamuzaScAnyAn sfjat paYcadaSottarAn. suBImamatiBImaYca
001287:0:  te: BImaM BImabalAbalam. etAn yajYamuzaH paYca devAnAM
001288:0:  te: hyasfjattapaH. sumitraM mitravantaYca mitrajYaM mitravardDanam
001289:0:  te: mitraDarmmARamityetAn devAnaByasfjattapaH. surapravIraM
001290:0:  te: vIraYca sureSaM suravarccasam. surARAmapi hantAraM paYcEtAna
001291:0:  te: sfjattapaH. triviDaM saMsritA hyete paYca paYca pfTak
001292:0:  te: pfTak. muzRantyatra SritA hyete svargato yajYayAjinaH
001293:0:  te: tezAmizwaM harantyete niGnanti ca mahadDaviH. spardDayA
001294:0:  te: havyavAhAnAM niGnantyete haranti ca. dyAM vahirvE tadA
001295:1:  te: dAnaM kuSalEH sampravarttitam. tadete nopasarpanti yatra
