353501:1:  te:  %Bfti% strI <vkr>Bf-ktin.</vkr> (1)BaraRe (2)pozaRe ca karaRe ktin
353524:1:  te: brAhmaRenApahftaM DanaM tat paralokadam. SUdrAya datta
353525:2:  te: mapi yaYjarakAyEva kevalam. mando maDyastaTA SIGra
353526:0:  te: striviDo Bftya ucyate. samA maDyA ca SrezWA ca
353527:0:  te: BftistezAM kramAt smftA. BftyAnAM gfhakftyArTaM divA
353528:3:  te: yAmaM samutszwajet. niSi yAmatrayaM nityaM dinaBftye
353529:2:  te: 'rdDayAmakama. teByaH kAryyaM kArayIta hyutasavAdyE
353530:3:  te: rvinA nfpaH. atyAvaSyaM tUtRave'pi hitvA SrAdDa
353531:3:  te: dirna sadA. pAdahInAM BftiM tvArtte dadyAt trEmA
353532:0:  te: sikIM tataH. paYcavatsaraBftye tu nyUnADikyaM yaTA
353533:2:  te: taTA. zARmAsikIM tu dIrvArte tadUrDvaM na ca
353534:2:  te: kalpayet. nEva pakzArdDamArtasya hAtavyAsTApi vEBftiH
353535:1:  te: saMvatsaropitasyApi grAhyaH pratiniDistataH. sumahad
353536:2:  te: guRinaM tvArtaM BftyardDaM kalpayed sadA. yezAM vinA nfpaH
353537:2:  te: pakzaM dadyAd BftyAya vatsare. catvAriMSat samA nItAH
353538:2:  te: sevayA vena vE nfpe. tataH sevAM vinA tasye BftyardDaM
353539:1:  te: kalpayet. sadA. yAvajjIvaM tu tatputre'kzame kAle tada
353540:0:  te: rdDakam. BAryyAyAM vA suSIlAyAM kanyAyAM vA spaSve
353541:2:  te: trale. azwamAMSaM pAritozyaM dadyAhu BftyAya vatsare
353542:1:  te: kAryyAMzwamAMSaM vA dadyAd kAryyaM drAnakzikaM kftam
353543:3:  te: smAmikAryye vinazwo yastataputre taduBftiM vahet. yAvad
353544:4:  te: vAlo'nyaTA putraguRAn dvazwvA BftiM vahet. zazWAMSaM vA
353545:0:  te: caturTAMSaM BfterBftyasya pAlayet. dadyAd tadardDaM BftyAya
353546:6:  te: dvitriyarze'smilAM tu vA. vAkpAruzyAsmUnaBftyA svAmI
353547:9:  te: pravaladaRqataH. BftyaM praccikzave sutyaM SatrutvaM tvaml
353548:3:  te: AnataH. BftidvAnena santuzwA mAnena parivardDitAH
353549:4:  te: vAcCitA mfduvAcA ye na tyajantyaDipaM hi te. aDamA
353550:1:  te: DanamicCanti DanAmAnO tu maDyamAH. uttamA mAna
353551:3:  te: nicCanti mAno hi mahatAM Danam. yaTAguSRAn stva
353552:5:  te: BftyAMYca prajAH svaMraYcayennfpaH. SAsmApradAnataH kAMci
353553:3:  te: daparAn PaladAnataH. anyAt sucakzuzA hAstEstaTA ko
353554:2:  te: malayA girA. suBojanEH suvasunEstAmbUlESca DanErapi
353555:2:  te: kAMScit sukuSalapaSrEraDikArapradAnataH. vAhanAnAM pradA
353556:0:  te: nena yogyABaraRadAnataH. CatrAtapatracamaradIpikAnAM
353557:0:  te: pradAnataH. kzamayA praRipAtena mAnenABigamena ca
353558:1:  te: satkAreRa ca dAnena hyAdareRa samena ca. premfRA
353559:1:  te: samIpavAsena svArDAsanapradAnataH. sampUrcAsanadAnena
353560:4:  te: stutyopakArIrttanAt yatkAryye viniyuktA ye kAryyAM N
353561:7:  te: gEraNgayecca tAn. mohajEstaHBrajerItiBavErajatasamBavEH
353562:5:  te: sOvarRE ratnajErvApi yaTAyOgyEH stasAcCanEH. pravijYA
353563:2:  te: nAya dUrAt tu vastrESca sukuwErapi. vAdyavAhanaBedESca
353564:1:  te: mftyAn kuryyAt pfTak pfTak. svaviSizwaM ca yaccihnaM
353565:0:  te: na dadyAt kasyacinnfpaH
353566:2:  te: a0</reN> <reN>tatra viSeza ukto yaTA <q>kAKaM BftyavaDiM deyaM tattaM
353567:6:  te: Bftyasya setsatavet. kati dattaM hi BftyeByo vetanaM pAri
353568:2:  te: tozikam. tatprAptipatraM gfhRIyAddadyAdvetanapatrakam
353569:0:  te: sEnikAH SikzitA ye ye tezu pUrRA BftiH smftA
353570:3:  te: vyUhAmyAse niyuktA ye tezvardDAM<q> BftiBAvaddet<q></reN> <reN><q>sva
353571:4:  te: kAryyAsADakA ye tu suBftyaH pozayecca tAn. loBenA
353572:8:  te: sevanAdBinnAstezvardDA BftimAvadDet.ka SatrutyaktAn sugu
353573:5:  te: RinaH suBftyA pAlayet nfpaH. pararAdDe hfte dadyAt
353574:1:  te: BftiM BinnAvaDiM taTA. dadyAdardDAM tasya putre striyE
353575:0:  te: pAdamitAM kila. hftarAjyasya putrAdO sadguRe pAda
353576:2:  te: sammitam. dadyAdvA tadrAjyatastu dvAtriMSAMt prakalpayet <q></reN></vn><page>vp6_0304.pdf</page><column>2</column><br/>
353577:3:  te:  %BftiBuj% tri0 <vg>BftiM vetanaM BuNkte</vg><vkr> Bukta-kvip.</vkr> vetanopa
353578:0:  te: jIvini karmakare amaraH.<page>vp6_0305.pdf</page><column>2</column><br/>
353579:0:  te:  %Bftya% pu0 <vkr>Bf-kyap tuk ca.</vkr> (1)dAse (2)BaraRIye tri0 amaraH.</2> <vkr>BAve
353580:0:  te: kyap</vkr> (3)BaraRe strI <vkr>wAp.</vkr></3> <reN><q>kumAraBftyAkuSalEH<q> raGuH
353581:0:  te: nindyAnindyaBftyaparIkzA SukranItisAre 2 a0 uktA yaTA
353582:0:  te: BftyaM parIkzayennityaM viSvAsyaM viSvaset sadA. nEva
353583:3:  te: jAtirna ca kulaM kEvalaM lakzayedapi. karmaSIlaguRAH
353584:0:  te: pUjyAstaTA jAtikule na hi. na jAtyA na kulenEva
353585:0:  te: SrezWatvaM pratipadyate. vivAhe Bojane nityaM kulajAti
353586:1:  te: vivecanam. katyaBAk guRasampannastaTABijanavAn DanI
353587:4:  te: sukulaYca suSIlaSca sukarmA ca nirAlaScaH. yaTA karo
353588:0:  te: tyAtmakAryyaM svAmikAryyaM tato'Dikam. caturguRena yatnena
353589:2:  te: kAyavANWamAnasena ca. BftyEva tuzwo mfduvAk kAryya
353590:5:  te: dakzaH SucirdvaNwaH. paropakaraRe dakzo hyapakAraparAN
353591:2:  te: muKaH. svAmyAgaskAriRaM putraM pitaraM vApi darSakaH
353592:1:  te: anyAyagAmini patyAvatadrUpaH suboDakaH. nAkzeptA
353593:5:  te: tadugiraM kAYcit tanyUnasyAprakASakaH. adIrGasUtraH
353594:1:  te: satkAryye hyasatkAryye cirakriyaH. na taduBAryyAputra
353595:1:  te: mitricCidradarSI kadAcana. tadvadbudDistadIyezu BAryyA
353596:1:  te: putrAdibanDuzu. na SlAGate spardDate na nAByasUyati
353597:1:  te: nindati. necCatyanyADikAraM hi nismfho modate
353598:0:  te: sadA. taddattavastraBUzAdiDArakastatpuro'niSam. Bfti
353599:5:  te: tulasyavyayI dAnto dayAluH SUra eva hi. tada
353600:0:  te: kAryyasya rahasi sUcako Bftako varaH. viparItaguRE
353601:0:  te: reBirBftako nindya ucyate. ye BftyA hInaBftilA
353602:1:  te: ye daRqena prakarzitAH. SaWASca kAtarA kubjAH samakzaM
353603:0:  te: priyavAdinaH. mattA vyasaninaScArttA utkocezwASca
353604:2:  te: devinaH. nAstikA dAmmikAScEvAsatyavAco'ByasU
353605:0:  te: yakAH. ye cApamAnitA ye'sadvAkyErmarmaRi BeditAH
353606:4:  te: ripormitrAsevakA pUrvavErAtubanDinaH. caRqAH sAha
353607:1:  te: sikA DarmahInA nEte susevakAH. saMkzepatastu kaTitaM
353608:0:  te: sadasadBftyalakzaRam
353609:0:  te: tatpariSizwe sarvaBftyakftyamuktaM yaTA
353610:0:  te: utTAya paScime yAme gfhakftyaM vicintya ca
353611:4:  te: kftvotsargaM tu vizRuM hi mftvA sra yAdanantaram
353612:1:  te: prAtaH kftyaM tu nirvartya yAvat sArdDamuhUrtakam
353613:0:  te: gatvA svakAryyaSAlAyAM kAryyAkAryyaM vicintya ca
353614:3:  te: viSaNkayA viSantaM tu dvAHsyaH samyag niroDayet
353615:2:  te: nideSakAya vijYApya tenAjYaptaH pramocayet. dfzwvagatAn
353616:1:  te: saBAmaDye rAjYe daRqaDaraH kramAt. nivedya tannatIH
353617:1:  te: paScAt tezAM sTAnAni sUcayet. tato rAjagfhaM gatvA
353618:1:  te: ''jYaptO gacCecca sanniDim. natvA nfpaM yaTAnyAyaM
353619:0:  te: vizRurUpamivAparam. praviSya sAnurAgasya cittajYasya
353620:3:  te: samantataH. BartturardDAMsane vfzwiM kftvA'nyatra viniHkzi
353621:1:  te: pet. agniM dIptamivAsIdedrAjAnamupaSikzitaH. A
353622:4:  te: SIvizamiva krudDaM praBuM prARaDaneSvaram. yatnenopacare
353623:0:  te: nnityaM nAhamasmIti cintayan. samarTayaMSca tatpakza
353624:3:  te: M sADu BAzita BAzitam. tanniyogena vA brUyAdarTaM supari
353625:0:  te: niScitam. surAprabanDagOqIzu vivAde vAdinAM matam
353626:2:  te: vijAnannapi no brUyAt BarttuH kzitvottaraM vacaH. sadA
353627:2:  te: 'nudDatavezaH syAnnfpAhUtastu prAYjaliH. tadugAM kftanatiH
353628:5:  te: SrutvA vastvAntaritasammuKaH. tadAjYAM DArayitvAdo
353629:1:  te: svakAryyARi nivedayet. natvA''sItAsane prahvastat
353630:2:  te: pArSve sammusvAjYayA. uccEHprahasanaM kAsaM zWIvanaM
353631:3:  te: kutsamaM taTA. jfmBaRaM gAtraBaNgaM vA paryAsPowaYca varja
353632:1:  te: yet. rAjYAdizWaM tu yat sTAnaM tatra tizWenmudAnvitaH
353633:0:  te: pravIRocitameDAvI varjayedaBimAnitAm. Apa
353634:0:  te: dyunmArgagamane kAryyakAlAtyayezu ca. apfzwo'pi
353635:3:  te: hitAnvezI brUyAt kalyARaBAzitam. priyaM tarTya
353636:1:  te: ca paTyaYca vadeta DarmArTakaMvacaH. samAnavArttayA cApi
353637:4:  te: tadDitaM boDayet sadA. kIrttimanyanfpARAM ca vede
353638:2:  te: nnItiPalaM taTA. dAtA tvaM DArmikaH SUronItimAnasi
353639:2:  te: BUpate!. anItiste tAn manasi varttate na kadAcana
353640:0:  te: ye ye BrazwA anItyA tAn tadagre kIrttayet sadA
353641:2:  te: nfpeByo hyadiko'sIti sarveByo'pi viSezayet. parArTaM
353642:1:  te: deSakAlajYo deSe kAle ca sADayet. parArTanASanaM
353643:0:  te: na syAttaTA brUyAt sadEva hi. na karzayet prajAkAryya
353644:3:  te: pupetaSca nfpaM sadA. api sTARuvadAsIta Suzyan pari
353645:1:  te: gataH kzuDA. jAtvevAnarTasampannAM vfttiM neheta paRqitaH
353646:0:  te: yatkAryye yo niyuktaH sa BUyAttatkAryyatatparaH
353647:1:  te: nAnyADikAramanvicCennAByasUyecca kenacit. na nyUnaM
353648:2:  te: lakzayet kasya pUrayIta svaSaktitaH. paropakaraRaM BraSyanna
353649:0:  te: syAnmitakaraH sadA. karizyAmIti te kAryyaM na
353650:0:  te: kuryyAt kAlalambanam. drAk kuryyAttu samarTaScet svAMSaM
353651:1:  te: dIrDaM na rakzayet. guhyaM karma ca mantraM ca na BarttuH
353652:3:  te: saMprakASayet. vidvezaM ca vinASaM ca manasApi na
353653:1:  te: cintayet. rAjA paramamitro'sti na kAlaM viricediti
353654:2:  te: satrIBistadarTiBiH pApErvEriBUtErnirAkftEH. ekArTacaryyaM
353655:1:  te: sAhityaM saMsargaYca vivarjayet. vezaBAzAnukaraRaM na
353656:0:  te: kuryyAt pfTivIpateH. sampanno'pi ca meDAvI na ca
353657:1:  te: spardDeta taduguREH. rAgAparAgO jAnIyAdBartuH kuSala
353658:0:  te: karmakft. INgitAkAracezwAByastadaBiprAyatAM taTA
353659:0:  te: tyajet viraktaM nfpatiM rakte vfttiM tu kArayet. viraktaH
353660:0:  te: kArayennASaM vipakzAByudayaM taTA. ASAvardDanakaM
353661:0:  te: (kAmacCedam)kftvA PalanASaM karoti ca. akopo'pi
353662:0:  te: sakopABaH prasanno'pi ca nizPalaH. vAkyaYca samadaM
353663:0:  te: vakti vftticCedaM karoti ca. lakzyate vimuKaScEva guRasaM
353664:0:  te: kIrttane kfte. dfzwiM kzipatyaTAnyatra kriyamARe ca karmaRi
353665:2:  te: viraktalakzaRaM hyetadraktasya lakzaRaM bruve. dvazwvA prasanno
353666:1:  te: Bavati vAkyaM gfhaRAti cAdarAt. kuSalAdi yadi
353667:3:  te: pfcCet pradApayati casinam. viviktadarSanaM cAsya raha
353668:2:  te: syenaM na SaNkate. jAyeta hfzwavadanaH SrutvA tadBirama
353669:0:  te: ntarA. apriyARyapi cAnyAni tadyuktAnyaBimanyate
353670:1:  te: upAyanaM ca gfhlAti stokaM sampAdayettaTA. kaTAntarezu
353671:3:  te: smarati prahRazwavadanastaTA. iti raktasya vE lakzma karttavyaM
353672:2:  te: tasya sevanam. taddattayastraBUzAdi cihnaM saMDArayet sadA
353673:1:  te: nyUnADike svADikAre nityodyukte Bavet sadA
353674:1:  te: tadarTAM tatkftAM vArttAM SfRuyAdvAti kIrttayet. cAra
353675:0:  te: sUcakadozeRa hyanyaTA yadfSe nfpaH. SfRuyAnmOnamA
353676:3:  te: Sritya taTyaM yatrena modavet. ApadgataM suBarttAraM
353677:3:  te: kadApi na parityajet. ekavAramaTAdizwaM ytasmAnaM
353678:0:  te: hyAdareRa tat. tadizwaM cintayennityaM pAlakasyAYjasA
353679:0:  te: na kim. apraDAnaH praDAnaH syAt, kAle cAtyanta
353680:2:  te: sevanAt. praDAno'pyapraDAnaH syAt sevAlasyAdinA yataH
353681:0:  te: nityaM saMsevanarato Bftyo rAjYaH priyo Bavet. sva
353682:0:  te: svADikArakAryyaM yat drAk kuryyAt sumAnA yataH. na
353683:2:  te: kuryyAt sahasA kAryyaM nIcaM rAjApi nodiSet. tat
353684:1:  te: kAryyakArakABAve rAjYaH kAryyaM sadEva hi. kAle yaducitaM
353685:0:  te: karttuM nIcamapyuttamo'rhati. yasmin prIto BavedrAjA
353686:1:  te: tadanizwaM na cintayet. na darSayet svADikAragOravaM
353687:1:  te: tu kadAcana. parasparaM nAByasUyurna BedaM prApnuyustaTA
353688:0:  te: rAjYA cADikftAH santaH svasvADikAraguptaye. aDi
353689:0:  te: kArigaRo rAjA sadvfttO yatra tizWataH. uBO, tatra
353690:1:  te: sTirA lakzmIrvipulA saMmuKIBavet. anyADikAra
353691:1:  te: vfttaM tu na brUyAcCutamapyuta. rAjA na SfRuyAdanya
353692:2:  te: suKatastu kadAcana. na boDayanti ca hitapahitaM
353693:0:  te: cADikAriRaH. pracCannavEriRaste tu dAsarUpamupA
353694:0:  te: SritAH. hitAhitaM na SfRoti rAjA mantrisuKAcca
353695:0:  te: yaH . sa dasyUrAjarUpeRa prajAnAM DanahArakaH. supuzwa
353696:2:  te: vyavahArA ye rAjaputrESca mantriRaH. viruDyantiH ca tEH sAkaM
353697:1:  te: te tu pracCannataskarAH. bAlA api rAjaputrAH nAva
353698:1:  te: mAnyAstu mantriBiH. sadA suvahuvAkyEstu saMboDyAste
353699:0:  te: prayatnataH. asadAcaritaM tezAM kvacit rAjYe na darSayet
353700:0:  te: strIputramoho balavAn tayornindA na Sreyase. rAjYo'vaSya
353701:0:  te: taraM kAryyaM prARasaMSayitaM ca yat. AjYApayAgrataScAhaM
353702:1:  te: karizye tattu niScitam. iti vijYApya tat karttuM
353703:3:  te: prayateta svaSaktitaH . prARAnapi ca saMdadyAnmahAkAryye
353704:0:  te: nfpasya ca. BftyakuwumbapuzwyarTaM nAnyaTA tu kadAcana
353705:0:  te: BftyADanaharAH sarve yuktyA prARaharo nfpaH. yudDAdO
353706:1:  te: tu mahAkAryye BftyapraRAn harennfpaH. nAnyaTA Bfti
353707:1:  te: rUpeRA Bftyo rAjaDanaM haret. anyaTA haratastO tu
353708:0:  te: BavataSca svanASakO. rAjA ca yuvarAjaSca mAnyo'mAtyA
353709:5:  te: dikEH sadA. tanyUnAmAtyena ca kiM tanyUnADikftena
353710:5:  te: kim. mantritulyaSca Bftako nyUnaH sAhasriko mataH
353711:2:  te: na krIqayedrAjasamaM vrIqite taM viSezayet. nAvamAnyA
353712:1:  te: rAjapatnI kanyA hyApi ca mantriBiH. rAjasambanDinaH
353713:1:  te: pUjyAH suhfdaSca yaTArhataH. nfpAhUtasturaM gacCet tyaktA
353714:1:  te: kAryyaSataM mahat. mitrAyApi na vaktavyaM rAjakftyaM
353715:1:  te: sumantitam. BftiM vinA rAjadravyamadattaM nABilAza
353716:3:  te: yet. rAjAjYayA vinA necCet kAryye mADyasTikIka
353717:0:  te: Bftim. na hi hanyAt dravyalomAt na kAryyaM yasya
353718:0:  te: kasyacit. svastrIputraDanaprAREH kAle saMrakzayennfpam
353719:1:  te: utkocaM nEva gfhRIyAt nAnyaTA boDayennfpam. anyaTA
353720:0:  te: daRqakaM BUpaM nityaM prabaladaRqakam. nigfhya bADayet
353721:1:  te: samyak ekAnte rAjyaguptaye. hitaM rAjaScAhitaM
353722:0:  te: yallokAnAM tanna kArayet. navInakaraSuklAdyErloka
353723:0:  te: udvijate tataH
353724:0:  te: BftyaH kuryyAt tu rAjAjYAM Sizyavat saSriyaH
353725:2:  te: pateH. na kzipet vacanaM rAjYo hyanukUlaM priyaM vadet
353726:0:  te: rahogatasya vaktavyamapriyaM yadDitaM Bavet. na niyukto
353727:0:  te: hared vittaM nopekzet tasya mAnakam. rAjYaSca na taTA
353728:0:  te: kAryyaM veSaBAzAvicezwitam. antaHpuracarADyakzo vEraBUtE
353729:0:  te: rnirAkfteH. saMsargaM na vrajed Bftyo rAjYo guhyaYca gopa
353730:0:  te: yet. darSayet kOSalaM kiYcidrAjAnaM ca viSezayet. rAjYA
353731:2:  te: yacCravitaM guhyaM na talloke prakASayet. AjYApyamAne
353732:0:  te: vAnyasmin kiNkaromIti vA vadet. vastraM ratnamalaNkAraM
353733:0:  te: rAjYA dattaM ca DArayet. nAnirdizwo dvAri viSennA
353734:3:  te: yogyaBuvi rAjadfk. nfmBAM nizWIvanaNkAsaM kopaM
353735:1:  te: paryyaNkikASrayam. BfkuwIM vAtasudgAraM tatsamIpe
353736:3:  te: vivarjayet. svaguRaKyApane yuktyA parAtmAnaM niyo
353737:0:  te: jayet. SAWyaM lOlyaM sapESUnyaM nAstikyaM kzudratA
353738:1:  te: taTA. cApalyaYca parityAjyaM nityaM rAjAnujIvinA
353739:0:  te: Srutena vidyASilpESca saMyojyAtmAnamAtmanA. rAjasevAM
353740:0:  te: tataH kuryyAd BUtaye BUtivardDanaH. namaskAryyAH sadA
353741:5:  te: cAsya putravallaBamantriRaH . sUcivErnAsya viSvAso rAja
353742:2:  te: cittapriyaYcaret. tyajed viraktaM raktAt tu vfttimIheta
353743:2:  te: rAjavit. apfzwaScAsya na bruyAt kAmaM kuryyAt taTA
353744:0:  te: padi. Asanno vAkyasaNgrAhI rahasye na ca SaNkate
353745:0:  te: kuSalAdi paripraSnaM samprayacCati cAsanam. tatkaTA
353746:1:  te: SravaRAdDuzwo hyapriyARyapi nandate. alpaM dattaM pragf
353747:0:  te: hRAti smaret tattu kaTAntare. raktasya rAjYaH karttavyA
353748:0:  te: sevAmanyasya varjayet <q> agni pu0 221 a
353749:1:  te: te ca daSaDA tezAM prADAnyAprADAnye ca tatrEva ukto yaTA
353750:1:  te: puroDAH praTamaM SrezWaH sarveByo rAjarAzwraBft. tadanu
353751:0:  te: syAt pratiniDiH praDAnastadanantaram. sacivastu tataH
353752:2:  te: prokto mantrI tadanu cocyate. prAqvivAkastataHka proktaH
353753:2:  te: paRqitastadantaram. sumantrastu tataH KyAto hyamAtyastu
353754:0:  te: tataHparam. dUtastataH kramAdete pUrvaSrezWA yaTA guRAH
353755:1:  te: tatkaraRamuhUrtAdi mu0 ci0 uktaM yaTA
353756:0:  te: kzipre mEtre vitsitArkejyavAre sOmye lagne'rke kuje
353757:0:  te: vA KalABe. yonO mEtryAM rASipoScApi mEtryAM
353758:5:  te: sevA kAryyA svAmina- sevakena<q> mu0 ci0.</reN> <reN>kata <q>aTa seva
353759:1:  te: kasya svAmisevAyAM muhurttaM SAlinyAha. kzipre mEtre
353760:0:  te: iti. kzipre mEtre aSvinIpuzyahastacitrAnurADAmfga
353761:1:  te: revatIpuzyanakzatrezu, vitsitArkejyavAre buDaSukrasUryya
353762:0:  te: guruvAre taTA sOmyagrahe lagnasaMsTe sati arke vA
353763:0:  te: aTa vA kuje BOme vA KalABe daSamEkAdaSasTe sati
353764:1:  te: sevakena Bftyena svAmino rAjAdeH sevA kAryyAM. rA
353765:0:  te: jAdidarSanaM prAguktaM vetanagrahaRakAryyAdyaNgIkArUpA
353766:3:  te: sevAsmin muhurte kAryyA tatrApi svAmisevakayoryoni
353767:1:  te: mEtryAM satyAYca punaH rASiyoH svAmisevakayoryO
353768:1:  te: janmarASI tayoryAvaDiyatI tayorapi mEtryAM prItO satyAM
353769:0:  te: kAryA uktaYca SrIpatinA<q></reN>  <reN>SuBe vilagne daSamAyage ca ravO
353770:0:  te: kuje vA svavaSena yoneH. vidyAyuDAByAsaratena kAryya
353771:1:  te: H samASrayaH svAmini sevakena<q>.</reN> <reN>kaSyapo'pi <q>daSamEkAdaSe
353772:1:  te: sUryye kuje vA SuBalagnake. vidyAyaDAByAsayuktasevA
353773:0:  te: karmApi sidDyati<q>.</reN> <reN>rASimEtrIsAhityaM tu <q>baBrUragaM
353774:4:  te: SvERamiBendrasiMhamotvAKusaMjYaM tvajavAnaraYca govyADramaSvo
353775:3:  te: ttaramAhimaYca vEraM nfnAryornfpaBftyayoSceti<q></reN> vasizWokti
353776:0:  te: maNgIkftya tulyanyAyatvAdatrApyuktaM granTakftA yonimEtrI
353777:1:  te: rASimEtrI ca vivAhaprakaraRe aSvinyambupayoriti
353778:4:  te: mitrARi dyumaRoriti vakzyate<q> pI0 vA0.</reN> upayamaSabde
353779:2:  te: dfSyam.</vn><page>vp6_0305.pdf</page><column>2</column><br/>
353780:0:  te:  %Bftrima% tri0 <vg>BaraRAjjAtaH</vg> <vkr>Bf-ktri-map ca.</vkr> (1)BaraRAjjAte.</1><page>vp6_0308.pdf</page><column>1</column><br/>
353781:3:  te:  %Bf(Bra)mi% pu0 <vkr>Brama-in pfzo0 vA saMprasAraRam.</vkr> (1)(DURAM)
353782:1:  te: vAyuBede (2)BramaRe ca. <reN><q>kimu cakraBramekAritAguRaH
353783:0:  te: nEzaDam.</2><page>vp6_0308.pdf</page><column>1</column><br/>
353784:0:  te:  %BfmyaSva% pu0 <vg>Bfmaya ivASvAH yasya.</vg> (1)fziBede tasya putraH
353785:1:  te: aR.</vkr></1> <vn>BArmya Sva tadpatye fzO ni0 9. 4.</vn><page>vp6_0308.pdf</page><column>2</column><br/>
353786:2:  te:  %BfSa% <vkr>(1)aGaHpatane</1> di0 para0 aka0 sew. BfSyati irin aBfSat
353787:0:  te: aBarSIt baBarSa. udicca ktvA vew</vkr><page>vp6_0308.pdf</page><column>2</column><br/>
353788:0:  te:  %BfSa% na0 <vkr>BfSa-ka.</vkr> (1)atiSaye (2)tadvati tri0.</2> <vkr>tato BfSAdi
353789:0:  te: cvyarTe BavatO kyaN BfSAyate.</vkr><page>vp6_0308.pdf</page><column>2</column><br/>
353790:0:  te:  %BfSam% avya0 <vkr>mAntamavyayam BfSa-bA0 kamu.</vkr> (1)suhurArTe (2)SoBane SabdaratnA0</2><page>vp6_0308.pdf</page><column>2</column><br/>
353791:1:  te:  %BfSAdi% pu0 (1)cvyarTe BavatO kyaNpratyayanimitte SabdagaRe
353792:0:  te: sa ca gaRaH pA0 ga0 ukto yaTA
353793:2:  te: BfSa SIGra capala manda paRqite utsuka sumanas
353794:0:  te: durmanas aBimanas unmanas rahas rohat rehat saMScet
353795:2:  te: tfpat SaSvat Bramat vehatta Sucis Sucivarcas antara
353796:0:  te: varcas ojas surajas arajas ete BfSAdayaH. Akfti
353797:0:  te: gaRo'yaM tena SyAmAyate ityAdi si0 kO 0.</reN> <reN>evaM
353798:0:  te: GUrRAyate <q>GUrRAyamAnekzaRam<q> GUrRAyamAnaSabde darSitam</reN></vn><page>vp6_0308.pdf</page><column>2</column><br/>
353799:1:  te:  %Bfzad% strI <vkr>dfzad+pfmo0.</vkr> (1)pAzARe SabdaratnA0.</1> <vn>tatra dfzad
353800:0:  te: ityeva pAWaH BfmadityapapAWaH.</vn><page>vp6_0308.pdf</page><column>2</column><br/>
353801:3:  te:  %Bfzwa% tri0 <vkr>Brasj-kta.</vkr> (1)jalopasekaM vinA bAlukAngisaMyogAByAM
353802:1:  te: pakve hema0.</1> <reN><q>suganDiH kaPahA rUkzaH pittalo Bfzwa
353803:0:  te: taRqulaH<q> rAjani0.</reN><page>vp6_0308.pdf</page><column>2</column><br/>
353804:0:  te:  %Bfzwayava% pu0 <vkr>karma0.</vkr> (1)DAnASabdArTe amaraH.</1><page>vp6_0308.pdf</page><column>2</column><br/>
353805:0:  te:  %BfzwAnna% na0 <vkr>karma0.</vkr> (1)jalosekena Bfzwe taRqule(suqi)Sabdaca0</1><page>vp6_0308.pdf</page><column>2</column><br/>
353806:1:  te:  %Bfzwi% strI <vkr>Brasj-BAve ktin</vkr> (1)Barjane (2)SUnyavAwikAyAM medi0</2><page>vp6_0308.pdf</page><column>2</column><br/>
353807:3:  te:  %BF% <vkr>(1)Barjane (2)Bartsane (3)BaraRe</3> ca kyAdi0 GA0 para0 saka0 sew. Bf
353808:0:  te: RAti aBArit baBAra baBaratuH.</vkr><page>vp6_0308.pdf</page><column>2</column><br/>
353809:2:  te:  %Beka% pu0 strI0 <vkr>BI-kan kasya nettvam.</vkr> (1)(vyAqa) jantuBede amaraH
353810:1:  te: striyAM jAtitvAt NIz.</vkr></1> <reN><q>tejaHsadyobalakaraH BramatfN
353811:0:  te: dAhamehanut. svApakuzWacCardinASI Bekastu parikIrttitaH
