132501:0:  te:  %kalaSapotaka% pu0 (1)nAgaBede <reN>`AryyakaScograkaScEva nAgaH kalaSa
132639:1:  te:  %kalahaMsa% puM strI <vg>kalapraDAno haMsaH.</vg> (1)(bAlahAzsa) haMsaBede
132640:0:  te: rAjahaMse (3)nfpaSrezWe ca medi0. <reN>kundAvadAtAH kala
132641:3:  te: haMsasamAlAH pratIyire SrotrasuKErninAdEH' BawwiH.</reN> <reN>`kalasaM
132642:1:  te: jalasaM BftaM puraH kalahaMsaH kalayAmbaBUva saH' nEza
132643:1:  te: baDUdukUlaM kalahaMsalakzaRam' kumA0.</reN> <vkr>striyAM jAti
132644:1:  te: tvAt NIz.</vkr> <reN>`kalahaMsIzu madAlasaM gatam' raGuH. (4)para
132645:0:  te: mAtmani brahmaRi ca Sabdara0. </4><page>vp3_201.pdf</page><column>1</column><br/>
132646:1:  te:  %kalahakAra% tri0 <vkr><vg>kalahaM karoti</vg> kf--hetvAdAvapi na wa kintu
132647:0:  te: aR upa0 sa0.</vkr> (1)kalahakArake. <reN>`hantuM kalahakAro
132648:1:  te: 'sO SabdakAraH papAta Kam' BawwiH.</reN></1><page>vp3_201.pdf</page><column>1</column><br/>
132649:0:  te:  %kalahanASana% ca0 <vkr><vg>kalahaM nASayati</vg> naSa--Ric--lyu
132650:1:  te: pUtikaraYje Sabdaratna0 <vn>kalahanASakatA cAsya kArmaRa vidyAyAM
132651:0:  te: viKyAtA.</vn></1><page>vp3_201.pdf</page><column>1</column><br/>
132652:4:  te:  %kalahakrapriya% pu0 <vg>kalahaH priyo'sya.</vg> (1)nArade fzO, <vn>tasya kalaha
132653:0:  te: priyatvaM purARAdO prasidDam.</vn> (2)sArikApakziRyAm
132654:0:  te: strI rAjani0.</2><page>vp3_201.pdf</page><column>1</column><br/>
132655:0:  te:  %kalahAntaritA% strI (1)avasTAntaraprApte nAyikABede. <vn>sA ca
132656:1:  te: cAwukAramapi prARAnATaM dozAdapAsya yA. paScAttApama
132657:2:  te: vApnoti kalahAntaritA tu sA' sA0 da0 uktalakzaRA
132658:0:  te: yaTA `no cAwuSravaRaM kftaM na ca dfSA hAro'ntike
132659:0:  te: vIkzitaH kAntasya priyahetave nijasaKIvAco'pi dUrI
132660:0:  te: kftAH. pAdAnte vinipatya tatkzaRamasO gacCanmayA mUQayA
132661:1:  te: pARiByAmavaruDya hanta sahasA kaRWe kaTaM nArpitaH</reN></1><page>vp3_201.pdf</page><column>1</column><br/>
132662:1:  te:  %kalahAya% <vkr><vg>kalahaM karoti</vg> kalaha+Nya nAmaDAtu Atma
132663:0:  te: aka0 sew. kalahAyate akalahAyizwa. kalahAyAm
132664:0:  te: baBUva Asa cakre. kalahAyamAnaH kalahAyitaH.</vkr><page>vp3_201.pdf</page><column>1</column><br/>
132665:0:  te:  %kalA% strI <vkr>kalayati kalate vA karttari ac kalyate jYAyate
132666:0:  te: karmaRi ac vA.</vkr> (1)candramaRqalasya zoqaSe BAge <vn>yaTA ca
132667:0:  te: candrasya zoqaSaBAgasya kalASabdavAcyatvam. taTA kAlamA
132668:0:  te: uktaM yaTA skAnde
132669:1:  te: asA zoqaSaBAgena devi! proktA mahAkalA. saMsTitA
132670:0:  te: paramA mAyA dehinAM dehaDAriRI. amAdipOrRamAsyantA
132671:2:  te: yA eva SaSinaH kalAH tiTayastAH samAKyAtAH zoNaqaSEva
132672:0:  te: varAnane! `iti</reN> <reN>`ayamarTaH yA mahAmAyA ADAraSakti
132673:0:  te: rUpA dehinAM dehaDAriRI saMsTitA sA candramaRqalasya
132674:0:  te: zoqaSaBAgena parimitA candradehaDAriRyamAnAmnI mahA
132675:0:  te: kaleti proktA kzayodayarahitA nityA tiTisaMjYikEva
132676:0:  te: itarA api paYcadaSa kalA divasavyavahAropayoginyaH
132677:0:  te: kzayodayavatyaH, paYcadaSa tiTayo BavantIti tiTayaH
132678:0:  te: zoqaSEvetyavirudDaM vacanamiti. SrutistvasminnarTe pakzanirRaya
132679:0:  te: evodAhftA. `tasya rAtraya eva paYcadaSa kalA DruvE
132680:1:  te: vAsya zoqaSI kaleti'.</reN> evaYca satyatra sAmAnyaviSezarUpeRa
132681:0:  te: tiTidvEviDyamuktaM Bavati tatra yeyamametyuktA kzayodaya
132682:0:  te: vivarjitA DruvA zoqaSI kalA tadyuktaH kAlastiTi
132683:0:  te: sAmAnyaM yAstvavaSizwAH vfdDikzayopetAH paYcadaSa kalA
132684:0:  te: stABirviSizwAH kAlaviBAgAstiTiviSezAH. tAsAM paYca
132685:0:  te: daSAnAmekEkAM kalAM bahnyAdayaH prajApatyantAH paYca
132686:0:  te: daSa devatAH krameRa pibanti. tatra vahninA yA kalA praTamaM
132687:1:  te: pIyate sA praTametyucyate, tayA yuktaH kAlaviSezaH prATa
132688:0:  te: myavAcinA pratipacCabdenABiDIyate. evaM dvitIyAdInA
132689:1:  te: M paYcadaSyantAnAM tiTInAM nAmAnyavagantavyAni, tA etAH
132690:0:  te: kfzRapakze tiTayo Bavanti. punaSca tAH pItAH kalAstenEva
132691:1:  te: krameRa tatra taTA vahnyAdidevatAByo nirgatya candramaRqalaM
132692:2:  te: pUrayanti tABiryuktAH kAlaviSezAH Sukla kzagatAH prati
132693:0:  te: padAdyAstiTayo Bavanti. bahnyAdidevatAnAM kalApAnaM
132694:0:  te: somotpattO paWitam. <reN>taTA hi `praTamAM pibate vahnirdvi
132695:0:  te: tIyAM pibate raviH. viSvedevAstftIyAntu caturTIM sali
132696:0:  te: lADipaH. paYcamIM tu vazawkAraH zazWI pibati vAsavaH
132697:1:  te: saptamImfzayodivyA azwamImaja ekapAt. navamIM kfzRapakze
132698:0:  te: 'sya yamaH prASnAti vE kalAm. daSamIM pibate vAyuH piba
132699:0:  te: tyekAdaSImumA. dvAdaSIM pitaraH sarve samaM prASnanti
132700:0:  te: BAgaSaH. trayodaSIM DanADyakzaH kuveraH pibate kalAm
132701:1:  te: caturdaSIM paSupatiH paYcadaSIM prajApatiH. nizpItaH kala
132702:0:  te: yA SezaScandramA na prakASate. kalA zoqaSikA yA sA tvapaH
132703:0:  te: praviSate sadA. amAyAM tu sadA soma ozaDIH prati
132704:0:  te: padyate. tamozaDigataM gAvaH pibantyambugataYca yat. tat
132705:0:  te: kzIramamftaM BUtvA mantrapUtaM dvijAtiBiH. hutamagnizu
132706:0:  te: yajYezu punarApyAyate SaSI. dine dine kalAvfdDiH
132707:0:  te: pOrRamAsyAM tu pUrRateti
132708:1:  te: '</reN> <reN>evaM zoqaSAnAM kalAnAmekA nityA anyA kzayodaya
132709:0:  te: SAlinI, tadetat spazwamuktam Sata0 brA
132710:0:  te: yaTA `prajApatiH zoqaSakalastasya rAtraya eva paYcadaSa
132711:0:  te: kalA DruvEvAsya zoqaSI kalA sa rAtriBirevA ca pUryyate
132712:0:  te: 'pa ca kzIyate so'mAvAsyAM rAtrimetayA zoqaSyA kalayA
132713:0:  te: sarvamidaM prARaBfdanupraviSya tataH prAtarjAyate tasmAdetAM
132714:0:  te: rAtriM prARaBftaH prARaM na vicCindyAdapi kfkalAsasya
132715:1:  te: '</reN> <reN>`yo'yamannAtmA prajApatiH prakftaH sa eza saMvatsarAtmanA
132716:0:  te: viSezato nirdiSyate rAtrayaH ahorAtrARi tiTaya eva
132717:0:  te: pratipadAdyAH DruvEva nityEva vyavasTitA. etAsAM vittatvaM
132718:0:  te: vaktuM tatsADarmyamAha sa candrAtmA prajApatIrAtriBireva
132719:1:  te: pratipadAdyABirupacIyamAnABiH Suklapakze varDate kfzRapakze
132720:0:  te: tABirevApacIyamAnABiH kalABirapakzIyate amAvA
132721:0:  te: syAyAM DruvEkA kalA vyavasTitA. evaM kalAnAM vittatve
132722:0:  te: sidDe tadupacayApacayO karmetyaBipretyAha sa kalAtmA prajA
132723:0:  te: patiramAvAsyAM rAtriM rAtrO yA DruvA kalAtrAvasTitoktA
132724:0:  te: etayA zoqaSyA kalayA sarvamidaM prARijAtaM sTAvara
132725:0:  te: jaNgamAtmakamanupraviSya yadapaH pibati yaccozaDIraSnAti
132726:1:  te: tat sarvamevOzaDyAtmanA vyapyAmAvAsyAM rAtrimavasTAya
132727:1:  te: tato'paredyuH prAtarjAyate dvitIyayA saMyukto Bavati
132728:0:  te: evamasO prajApatiH pANaktAtmakaH saMvfttaH evaM prajApateH
132729:0:  te: pANktakarmaPalatvamuktvA prAsaNgikamaTamAha tasmAditi
132730:0:  te: prARinaM na pramApayet kfkalAsasyApi sarawasyApi prARaM
132731:1:  te: na vicCindyAt' BA0.</reN> candrakalAnAM nAmaBedAdikamanupadaM
132732:0:  te: vakzyate. <reN>`sarvABiH sarvadA candrastaM kalABirnizevate
132733:2:  te: '</reN> <reN>`jyotsnAntarARIva kalAntarARi'.</reN> <reN>`kalA ca sA
132734:1:  te: kAntimatI kalA(va) BftaH' kumA0.</reN> <reN>`kalAsamagreRa gfhA
132735:1:  te: namuYcatA' `kalAdaDAnaH sakalAH svaBABirudBAsayan
132736:1:  te: sODasitABirASAH'</reN> <reN>`niDiramBasAmupacayAya kalAH
132737:2:  te: ' iti ca mAGaH kalADaraH kalABft kalAniDiH kalAvAn
132738:0:  te: avayavamAtre ca. <reN>`somasUryyAgniBedena mAtfkAvarRa
132739:1:  te: samBavAH azwatriM SatkalAstattanmaRqalezu vyavasTitAH' SA
132740:0:  te: ti0.</reN> <reN>`somamaRqalasya zoqaSakalatA sUryya maRqalasya dvAda
132741:1:  te: SakalatA vahnimaRqalasya daSakalatoktA'</reN></vn> <vn>tAsAM nAmAni
132742:1:  te: yeyarUpARi ca tatra darSitAni yaTA
132743:0:  te: amftA mAnadA pUzA tuzwiH puzworatirDftiH. SaSinI
132744:1:  te: candrikA kAntirjyotsnA SrIH prItiraNgadAH. pUrRA pUrRA
132745:0:  te: mftA kAmadAyinyaH svarajAH kalAH 16. tapinI tApinI
132746:0:  te: DUmrA marIcirjvAlinI ruciH. suzumRA BogadA viSvA
132747:3:  te: boDinI DAriRI kzaprA. kaYAdyA vasudAH sOrAH waWAntA
132748:0:  te: dvAdaSeritAH 12. `DUmrArcirUzmA jvalinI jvAlinI
132749:2:  te: visPuliNginI. suSrIH surUpA kapilA havyakavyahe
132750:0:  te: api. qAdInAM daSavarRAnAM kalA DarmapradA imAH
132751:2:  te: aBayezcakarADyeyA SvetapItAruRAH kramAt'
132752:0:  te: taTA akArokAramakAranAdavindvAtmakapraRavasya paYcASat
132753:0:  te: kalAtmakatAmuktvA tannAmaDeyarUpARyapi tatroktAni yaTA
132754:1:  te: tArasya paYcaBedasya paYcASadvarRagAH kalAH. sfzwirfdviH
132755:0:  te: smftirmeDA kAntirlakzmIrDftiH sTirA. sTitiH sidDi
132756:1:  te: riti proktA kacavargakalAH 10 kramAt. akArAd
132757:0:  te: brahmaRotpannAstaptacAmIkarapraBAH. etAH karaDftAkza
132758:0:  te: srakpaNkajadvayakuRqikAH. jarA ca pAlinI SAntirESvarI
132759:1:  te: ratikAmike. varadA hlAdinI prItirddIrGA syuzwatavargajAH
132760:0:  te: ukArAdvizRunotpannAstamAladalasanniBAH. aBItiSaNKa
132761:0:  te: cakrezwabAhavaH parikIrttitAH. tIkzRA rOdrI BayA
132762:0:  te: nidrA tandrA kzut kroDinI kriyA. utkarI mutya retAH
132763:0:  te: syuH kaTitAH payavargajAH10. rudreRa mArRAdutpannAH
132764:0:  te: SaraccandrasamapraBAH. udvahantyo'BayaM SUlaM kapAlaM bAhu
132765:1:  te: Birvaram. ISvareRoditA vindoH pItASvetA'ruRA'sitA
132766:3:  te: anantAstAH zavargasTA javAkusumasanniBAH. aBayaM hariRaM cawaNkaM
132767:1:  te: daDAnA bAhuBirvaram. nivfttiH supratizWA syAdvidyA
132768:0:  te: SAntiranantaram. inDikA dIpikA cEva recikA mocikA
132769:0:  te: parA. sUkzmA sUkzmAmftA jYAnAmftA cApyAyinI taTA
132770:0:  te: vyApinI vyomarUpA syuranantAH svarasaMgatAH 16. sadASivena
132771:0:  te: saMjAtAnAdAdetAH sitatvizaH. akzasrakpustakaguRakapA
132772:1:  te: lAWyakarAmbujAH. nyAse tu yojayedAdO zoqaSa svarajAH
132773:0:  te: kalAH. iti paYcASadAKyAtAH kalAH sarvasamfdDidAH
132774:1:  te: '</reN> <vg>kalyate jYAyate'nena.</vg></vn> (3)aMSatulye upADiBede ca
132775:0:  te: tasmE sahovAca ihEvAntaH SarIre sOmya! sa puruzo
132776:4:  te: yasminnetAH zoqaSA kalAH praBavantIti' praSnopanizat
132777:0:  te: tasmE sa hovAca. ihEvAntaH SarIre hfdayapuRqarI
132778:0:  te: kAkASamaDye he sOmya! sa puruzo na deSAntare vijYeyo
132779:0:  te: yasmin etA ucyamAnAH zoqaSa kalAH prARAdyAH praBa
132780:0:  te: vantyutpadyanta iti zoqaSakalABirupADirUpABiH sakala
132781:1:  te: iva nizkalaH puruzo lakzyate'vidyayeti' BAzyam
132782:0:  te: puruzasya zoqaSakalatvaM na sAkzAtsAvayavatvena, kintu
132783:0:  te: kalAjanakatvena tadupADimattvAditi vaktuM yasminnetA iti
132784:1:  te: vAkyatAtparyyamAha zoqaSakalABiriti' Ananda
132785:3:  te: yaTA ca puruzasya zoqaSakalatvaM taToktaM tatrEva
132786:0:  te: praSnopanizadi SaNkarAcAryyakftatadBAzye ca yaTA
132787:0:  te: sa IkzAYcakre kasminnahamutkrAnta utkrAnto BavizyAmi
132788:1:  te: kasmin vA pratizWite pratizWAsyAmIti' upa0.</reN> <reN>`tadupADi
132789:0:  te: kalADyAropApanayanena vidyayA sa puruzaH kevalo darSayitavya
132790:0:  te: iti kalAnAM tatpraBavatvamucyate. prARAdInAmatyantanirvvi
132791:0:  te: Seze hyadvaye SudDe tattve Sakyate'DyAropamantareRa pratipAdya
132792:0:  te: pratipAdanAdivyavahAraH karttumiti kalAnAM praBavasTi
132793:0:  te: tyapyayA Aropyante avidyAvizayAScEtanyAvyatirekeREva
132794:0:  te: hi kalA jAyamAnAstizWantyaH pralIyamAnASca sarvvadA
132795:1:  te: lakzyante. ata eva BrAntAH kecidagnisaMyogAdvfta
132796:0:  te: miva GawAdyAkAreRa cEtanyameva pratikzaRaM jAyate
132797:0:  te: naSyatIti tanniroDe SUnyamiva sarvvamiti. apare
132798:0:  te: GawAdivizayaM cEtanyaM cetayiturnityasyAtmano'nityaM
132799:0:  te: jAyate vinaSyatIti. apare cEtanyaM BUtaDarmma iti
132800:0:  te: lOkAyatikAH anapAyopajananaDarmmakacEtanyamAtmEva nAma
132801:0:  te: rUpAdyupADiDarmEH pratyavaBAsate.</reN> <reN>`satyaM jYAnamAnandaM
132802:5:  te: brahma' `vijYAnaDana evetyAdi' yaSrutiByaH.</reN> svarUpAvyaBi
132803:0:  te: cArAt yaTA yaTA yo yaH padArTo vijYAyate
132804:0:  te: taTA taTA jYAyamAnatvAdeva tasya tasya cEtanyasyAvya
132805:0:  te: BicAritvaM vastu ca Bavati kiYcinna jYAyata iti
132806:0:  te: cAnupapannam. rUpaYca dfSyate na cAsti cakzuriti
