128501:0:  te:  %karmmaRya% tri0 karmmaRA sampAdi yat. 1 karmmaRA sampanne SO
128608:0:  te: vizayatAvacCedakatAnyaprakAratvaM prakAratApraBedovetyanya
128609:0:  te: detat pawamityAdO tu pawAdirna tAdAtmyena viDeya iti
128610:1:  te: na tatra vyaBicAraH. nanu nIlaM pItaYcotpalaM yatra
128611:2:  te: ityarTe nIlapItotpalaM sara ityAdiko bahuvrIhiriva
128612:0:  te: nIlaM pItaYcotpalamityarTe nIlapItotpalaM puzpamityA
128613:0:  te: dikaH karmaDArayo'pyekatra dvayamiti nyAyena nIlapItAByA
128614:0:  te: mavacCinnotpalanizWaDarmitAkaDIjanakaH kaTaM na syAt? iti
128615:0:  te: cenna <q>bahupade bahuvrIhireva netarodvandvAnyaH samAsa<q> ityanu
128616:0:  te: Sizwibalena bahuvrIhereva svanivizwanAmadvayopasTApyArTa dvayA
128617:0:  te: vacCinnatAdfSanAmAntarArTanizWavizayatAkaboDaM prati hetu
128618:0:  te: tvena samAsAntarasya tAdfSaDiyaM pratyasamarTatvAt. nIla
128619:0:  te: pItotpale ramye pItanIlotpalASritamityAdO tu nIlo
128620:0:  te: tpalaM pItotpalaYca ramyamityAkAraka eva boDo natu nIlaM
128621:0:  te: pItaYca yadutpalaM tadramyamityAkAraH. ataeva dvandvAt parasya
128622:1:  te: pratyekABisambanDasUcanArTaM nIlapIte ca te utpale cetyAdi
128623:0:  te: kameva tatra vigrahaM varRayanti na tu nIlaM pItaYca tadutpala
128624:0:  te: YcetyAdikam. Gawasya nADikaraRamityAdivigrahe
128625:0:  te: GawAnaDikaraRamityAdikastu maDyapadapraDAnastatpuruzona
128626:0:  te: bahunAmagarBo navEkatra dvayamitinyAyena svArTasya boDaka iti
128627:0:  te: sampradAyavidaH
128628:0:  te: atra samAse viSizwArTe na Saktirna vA lakzaReti Sabdaci
128629:0:  te: sTitO yaTA
128630:0:  te: karmaDAraye tu na SaktirnavA lakzaRA tAByAM vinApi
128631:0:  te: vivakzitArTAnvayaboDopapatteH nanu nIlaGawayoH sAmAnA
128632:0:  te: DikaraRyapratItestatra lakzaREva anvayaprakAratvAdinA
128633:0:  te: tasya BAne rAjapuruzAdO zazWyarTopasTitirapi taTAstu
128634:2:  te: atra brUmaH--karmaDAraye sAmAnADiraRyaM nAmArTayora
128635:0:  te: Bedo vA guRaguRinoH samavAyo vAnuBUyate sacAnvaya
128636:0:  te: eva natvanvayapratiyogI ato'nvayapratiyoginorupasTi
128637:0:  te: tirnAmapadAcCaktyEveti na tadarTaM lakzaRA. rAjapuruza
128638:0:  te: ityatra tu rAjasambanDipuruzayoranvayo'nuBUyate. rAja
128639:2:  te: nasambanDinaScAnvayapratiyogina upasTitirna rAjapade zazWyarTa
128640:0:  te: lakzaRAM vinA, rAjYaH puruzaM rAjasambanDinaM puruzaM
128641:0:  te: rAjapuruzamAnayetyAdO paryyAyatvAdrAjasambanDinaH puruze
128642:0:  te: 'nvayoBAsate rAjasambanDI anvayapatiyogitvena. evaYca
128643:2:  te: bahubrIhO sarvatrAntyapadasya zazWItatpuruze pUrvvapadasyA
128644:1:  te: paraparatayA lAkzaRikattvAt tAByAM karmaDArayo balavAn
128645:0:  te: sarvezAM padAnAM svArTaparatayA muKyatvAd. ataeva <q>eta
128646:0:  te: yEva fcA nizAdasTapatiM yAjayet<q> ityatra karmaDAraya eva
128647:3:  te: muKyatve SabdasvarasAt zazwItatpuruze ca zazWyarTe lakzaRA
128648:0:  te: patteH. vEyAkaraRAstu samAsamAtre viSizwarTe'tiriktAM
128649:0:  te: SaktiM kalpayantastadasvIkAre dozaM varRayanti yaTA vEyA0 BU
128650:1:  te: api ca samAse viSizwaSaktyasvIkAre rAjapuruzaScitraguH
128651:2:  te: nIlotpalamityAdO sarvvatvAnanyaprasaNgaH. rAjapadAdeH
128652:0:  te: sambanDini lakzaRAyAmapi taRqulaH pacatItyAdO karma
128653:0:  te: tvAdisaMsargeRa taRqulAdeH pAkAdAvanvayavAraRAya prAti
128654:0:  te: padikArTaprakArakaboDaM prati viBaktijanyopasTiterhetutAyA
128655:0:  te: AvaSyakatvAt puruzAdestaTAtvABAvAt. taRqulaH SuBra
128656:0:  te: ityAdO ca prAtipradikArTakapraTamArTe taRqulAdestasya ca
128657:0:  te: Sukle aBedenEvAnvayaH. SuBreRa taRqulenetyAdO ca viSe
128658:0:  te: zaRaviBaktiraBedArTA pArzRikovAnvaya iti nAtiprasaNgaH
128659:0:  te: taTA ca samAse parasparamanvayAsamBavAdAvaSyikEva samudAyasya
128660:0:  te: tAdfSe viSizwArTe SaktiH.<q> <q>tanvastUktarItyA sarvatra samAse
128661:0:  te: Saktirastu ca taTAvigrahastaTApi zazWItatpuruzakarmaDArayayoH
128662:3:  te: SaktimattvAviSezAnnizAdasaTApatyaDikaraRasidvAntasidDirna syAt
128663:0:  te: ityata Aha. <q>paryavasyacCAbdaboDAvidUraprAkkzaRasTite
128664:0:  te: Saktigrahe'ntaraNgatvabahiraNgatvacintanam
128665:0:  te: paryyavasyaMScAsO SAbdaboDaSca tasmAdavidUraScAsO prAkkzaRaSca
128666:1:  te: tadAnIntanalAGavamAdAyADikaraRAviroDa ityarTaH. ayaM
128667:0:  te: BAvaH--nizAdasTapatipadaM samAsaSaktipakze nizAdarUpe
128668:0:  te: nizAdAnAYca sTapatO nizAdasvAmike puruzAntare cetyevaM
128669:0:  te: sarvatra SaktatvAnnAnArTakam. taTA ca <q>nAnArTe tAtparyyA
128670:0:  te: dviSezAvagatiH<q> iti nyAyena tatkalpanAyAM padadvaye pUrvopa
128671:0:  te: sTitArTe evopasTityAdilAGavAt tatkalpanamiti. pare
128672:0:  te: zAmapi sati tAtparyye yazwIH praveSayetivallakzaRAyAdurvvA
128673:0:  te: ratvAttAtparyyameva kalpyakowO avaSizyata iti dik
128674:0:  te: puMvatkarmmaDArayajAtIyadeSIyezu<q> <q>tatpuruze'naYkarmma
128675:0:  te: DArayaH<q> pA0. <q>dvandvodvigurapi cAhaM satatamasmadgfhe'
128676:4:  te: vyayIBAvaH. tatpuruza! karmaDAraya yena syAM sadA
128677:0:  te: bahuvrIhiH<q> udBawaH.<page>vp3_145.pdf</page><column>1</column><br/>
128678:0:  te:  %karmman% puM na0 <vkr>kf--karmaRi manin ardDarcAdi0 pA0 amare tu
128679:0:  te: na0.</vkr> (1)vyAkaraRapariBAzite karttrA kriyAPalASrayatayAptu
128680:0:  te: mizwatame padArTe <reN><q>kartturIpsitatamaM karma<q> pA0.</reN> <vn>vyA
128681:0:  te: KyAtaYcEtat si0 kO0 yaTA
128682:0:  te: karttuH kriyayA AptumizwatamaNkarmmasaMjYaM syAt. karttuH
128683:0:  te: kim? mAzezvaSvaM baDnAti. karmaRa IpsitA mAzA na tu
128684:0:  te: karttuH. tamabgrahaRaM kim? payasA odanaM BuNkte. karme
128685:0:  te: tyanuvfttO punaH karmagrahaRamADAranivfttyarTam, anyaTA gfhaM
128686:1:  te: praviSatItyatrEva syAt. vivftaYcEtadasmABiH saralAyAM yaTA
128687:0:  te: kartturityAdi. karttrAptumizyamARaM karmetyarTaH.</reN> <reN><q>DAtUpAtta
128688:0:  te: vyApArASrayaH karttA<q> iti vakzyate.</reN> AptiSca sambanDaH sa ca
128689:1:  te: karttfviSezaRIBUtakriyArUpavyApArAdvAraka evAnupasTitakalpane
128690:0:  te: mAnABAvAt, evaYca karttrA svanizWakriyArUpavyApAraprayojya
128691:0:  te: Palena sambadDumizyamARaM karmetyarTaH, tadetadAha karttuH
128692:0:  te: kriyayA Aptumiti. kriyayA DAtUpAttavyApAreRa, AptuM
128693:0:  te: DAtUpAttaPaladvArA sambanDum. <reN>PalavyApArayorDAtUpAtta
128694:0:  te: tvantu <q>PalavyApArayorDAturASraye tu tiNaH smftAH<q> ityanena
128695:0:  te: sidDam.</reN> tacca karmma saptaviDam, <reN>yaToktaM hariRA <q>nirvartyaYca
128696:2:  te: vikAryyaYca prApyaYceti triDA matam. taccepsimatatamaM karma
128697:0:  te: caturdDAnyattu kalpitam. OdAsInyena yat prApyaM yacca
128698:2:  te: kartturanIsmitam. saMjYAntarEranAKyAtaM yadyaccApyanyapUrvakam
128699:0:  te: iti.</reN> tatra nirvarttyAdInAM lakzaRAdikamapi tenEvoktaM
128700:0:  te: yaTA--<q>yadasajjAyate sadvA janmanA yatprakASate
128701:0:  te: prakftestu vivakzAyAM vikAryyaM kEScidanyaTA. tannirvarttyaM
128702:0:  te: vikAryyaYca karmadveDA vyavasTitam. prakftyucCedasamBUtaM kiYcit
128703:1:  te: kAzWAdiBasmavat. kiYcit guRAntarADAnAt suvarRAdi
128704:1:  te: vikAravat. kriyAkftaviSezARAM sidviryatra na vidyate
128705:0:  te: darSanAdanumAnAdvA tat prApyamiha kaTyate<q> iti</reN> <reN><q>satI vA
128706:0:  te: vidyamAnA vA prakftiH pariRAminI. yasya nASrIyate tasya
128707:0:  te: nirvarttyatvaM pracakzate<q> iti ca.</reN> <reN>tadayaM lakzaRanizkarzaH--prakf
128708:0:  te: tivAcakapadAsamaBivyAhftapadopasTApyatve sati kriyAjanyo
128709:0:  te: tpattirUpaPalavattvaM nirvarttyatvam yaTA GawaM karotItyAdO
128710:0:  te: GawAdeH kriyAjanyotpattimattvAnnirvarttyatvam. pratIyamA
128711:1:  te: naprakftivikftiBAvatve sati kriyAnirvAhyaviSizwAsattvo
128712:1:  te: tpattirUpAnyataraPalavattvaM vikAryyatvam, yaTA suvarRaM kuRqaMlaM
128713:0:  te: karotItyAdO suvarRasya pUrvarUpaviSizwAsattvaPalavattvAt kuRqa
128714:0:  te: lasya cotpattimattvAduBayorapi vikAryyatvam. kriyAkftAsA
128715:0:  te: DAraRaDarmaprakArakapratItivizayatAnASrayatve sati kriyAjanya
128716:0:  te: PalavattvenoddeSyatvam, prApyatvaM yaTA grAmaM gacCatItyAdO
128717:0:  te: grAmAdeH karttfsADAraRasaMyogarUpaPalavattve'pi kriyAkfta
128718:2:  te: SramAdirUpAsADAraRaviSezaPalasyAnADAratvena tAdvaSaPala
128719:7:  te: prakArakaboDAvizayatvAt prApyatvam. nirvarttya vikAryyayostu
128720:2:  te: kriyAjanyotpattyAdiPalasya rmamAtranizWatayA asADAra
128721:2:  te: Ryena tadvattvAnnAtiprasaNga iti boDyam. kartturanuddeSyatve sati
128722:0:  te: kriyAjanyaPalavattvam, OdAsInya prAptaM yaTA grAmaM gacCan
128723:0:  te: tfRaM spfSatItyAdO tfRAderanuddeSyatve'pi kriyAjanya
128724:0:  te: saMyogarUpaPalavattvenodAsInakarmatA. dvizwasADanatve sati
128725:1:  te: kriyAPalavattvaM, dvezyaM yaTA annaM buBukzurvizaM BuNkte<q> ityAdO
128726:0:  te: vizasya taTAtvam.</reN> <reN>kArakaviSezasaMjYAntareRAvivakzitatve sati
128727:0:  te: karmopakArakatvam, saMjYAntarEranAKyAtatvam yaTA gAM payo
128728:0:  te: dogDItyAdO gavAdeH kArakAntarasaMjYAyA avivakzayA dugDo
128729:0:  te: payogitayA karmatvam. vyaktIBavizyati cedamuparizwAt
128730:0:  te: kArakAntarasaMjYApUrvvakatvaM yaTA <q>jalaDimaDiSete<q> ityAdO
128731:0:  te: jalaDerADArasaMjYakatayA prAptatve'pi <reN><q>aDiSINsTAsAM
128732:2:  te: karma<q> pA0</reN> ityAdinA karmasaMkzayA karmatvam. payaseti Buji
128733:2:  te: kriyAM prati payasaH prakfzwopakArakatvavivakzAyAM tasyEspita
128734:1:  te: tamatvAt payaH pivatIti syAdeva. iha tu taTA vivakzAvi
128735:1:  te: raheRAnnaBojanaM prati tasyANgatayA karaRatvA mAtraM vivakzita
128736:0:  te: miti na odanasya karmatvam. sahArTe tftIyeti tu
128737:0:  te: nyAyyam, tasyApraDAnatvAttamapA boDayitumaSakyatvAt
128738:1:  te: karmmatAboDanaprakAralakzaRAdikaM Sabda0 pra0 anyaToktaM yaTA
128739:0:  te: yagantaDAtorarToyastiNAsvArTe'nuBAvyate. yatrAsO karmma
128740:0:  te: tA nAma kArakaM kartftetaraH<q></reN> yagantasya yadDAtoruttarasTatiNA
128741:1:  te: yatra svArTe tadIyoyAdfSo'rTonuBAvayituM Sakyate, tadDAtU
128742:0:  te: pasTApyatAdfSakriyAyAM sa tiNarTaH kartftABinnaH karmatvaM
128743:0:  te: nAma kArakamityarTaH. grAmogamyata ityatra gamaDAtUpasTApyA
128744:0:  te: yAH saMyogAvacCinnakriyAyAH svajanyatvasambanDena tiNpado
128745:4:  te: pasTApye saMyoge evAnvayo na tu tyajyata ityAdAvi viBA
128746:0:  te: gAdO DAtvarTatAvacCedakasyEva Palasya boDane karmavihita
128747:0:  te: pratyayAnAM DAtusAkANkzatvAdataH saMyogasyEva tatra gatikriyA
128748:2:  te: karmatvaM natu viBAgAdeH, tena tarostyAgini Kage taruM
128749:0:  te: gacCatItyAdikona prayogaH. gamyate raTaH svayamevetyAdO (gamyate
128750:2:  te: iti tvanuSAsanaviruNkaM karttfsTaBAvakatayA karmavat kriyAyA
128751:0:  te: aprasakteH). karmatvamivAnukUlavyApAravattvalakzaRaM karttftvaM
128752:1:  te: DAtvarTasya Darmyapi na tatkartftABinnamiti tadvyudAsaH
128753:2:  te: nanu cEtrakartfkagamanajanyasaMyogasya grAma iva cEtre'pi
128754:2:  te: sattvAccEtreRa gamyate cEtraityapi prayogaH syAt tiNarTasaMyo
128755:0:  te: gasya janyatvasvASrayapratiyogikatvoBayasambanDena DAtvarTagateH
128756:0:  te: sAkANkzatvena cEtrakartfkagatyASrayapratiyogikatvaviSizwasya
128757:2:  te: saMyogasya cEtre bADitatvAt. ataeva cEtrogrAmaM gacCati
128758:1:  te: itivat cEtraScEtraM gacCatItyapi na prayogaH, tatrApi dvitI
128759:0:  te: yArTasaMyoge prakftyarTasya svapratiyogikatvasambanDenEva sAkA
128760:1:  te: NkzatayA dvitIyAntalaByasya cEtrIyatvaviSizwasaMyogasya janaka
128761:1:  te: tvasvASrayavfttitvoBayasambanDenEva kriyAyAmanvayena cEtraprati
128762:0:  te: yogikasaMyogASrayavfttigateScEtre bADitatvAt. yattu Pala
128763:0:  te: miva kriyAyAmanvitaM parasamavetatvamapi karmmatAvAcipratyaya
128764:0:  te: syArTaH, paratvaYca tiNA svArTaPalAnvayipratiyogikaM, dvitI
128765:0:  te: yAdisupA tu prakftyarTapratiyogikaM pratyAyyate taTA ca cEtra
128766:1:  te: kartfkasya cEtrA nyasamavetagamanasyAprasidDatve na cEtre
128767:4:  te: tajjanyasaMyogasyAsamBavAccEtreRa gamyate cEtra ityAdiko na
128768:0:  te: prayogaH. evaM cEtrAnyasamavetasya cEtre bADAccEtraScEtraM
128769:3:  te: gacCatItyAdirapi. cEtreRa gamyate grAmaityAdO tu cEtra
128770:1:  te: kartfkasya grAmaBinnasamavetasya gamanasya janyoyaH saMyogasta
128771:2:  te: dvAn grAmaityanvayaboDanena kiYcidbADakamitiprAcyE
128772:2:  te: ruktaM tanna yuktam, saMKyAkAlAtiriktasya tiNarTasya DAtvarTa
128773:0:  te: viSezyatvaniyamena tiNarTasya parasamavetatvAderDAtvarTagatyAdA
128774:0:  te: vanvayAyogAt praTamAntopasTApyagrAmAderaBedAnyasambanDenA
128775:1:  te: nyatra pratyayArTeM tiNarTe vAnvayasyAdfzwacaratvenAvyutpannatvAt
128776:2:  te: cEtreRa gamyate dravyaM, dravyaM gacCati cEtraityAdO dravyAnya
128777:2:  te: samavetasya gatyAderaprasidDatvenAyogyatApatteSca. navyAstu
128778:0:  te: Palamiva Bedo'pi karmmatvavAcipratyayasyArTastaTA ca
128779:0:  te: cEtreRa gamyate grAma ityatra tiNarTaBedasya sAmA
128780:0:  te: nADikaraRyasambanDena DAtvarTaviSezyatvAt pratiyogi
128781:1:  te: tvasambanDena praTamAntArTe grAmAdO viSezaRatvAnna vyutpa
128782:0:  te: ttiviroDo navAtiprasaNgaH cEtrakartfkagamanASrayavftti
128783:1:  te: Bedapratiyogitvasya cEtre virahAt cEtraM gacCatItyAdAvapi
128784:1:  te: pratiyogitvasambanDena cEtrAnvitasya dvitIyArTaBedasya sAmA
128785:4:  te: nADikaraRyasambanDena DAtvarTagatAvanvayAttAdfSagateScEtre bADA
128786:5:  te: ccEtraM gacCati cEtraityAdikona prayogaH. pratiyogitvaYca
128787:0:  te: uBayAvfttiDarmAvacCinnaM DarmadvayAnavacCinnaM vA grAhyamatodravyaM
128788:1:  te: gacCatItyAdO gatO dravyaBedasAmAnADikaraRyavirahe'pi na
128789:0:  te: kzatiriti prAhustaccintyam. vfkzaM KagastyajatItyAdO
128790:0:  te: viBAgAvacCinnakriyA tyajerarTaH dvitIyAyAstu viBAgastena
128791:0:  te: vfkzAvaDikaviBAgavatI yA viBAgAvacCinnakriyA tadvAn
128792:4:  te: Kaga ityAkArastatra boDaH. vfkzAvaDikaviBAgavattvaYca janakatva
128793:0:  te: svASrayavfttitvoBayasambanDenEva kriyAyAM grAhyamataH KagAdya
128794:2:  te: vaDikaviBAgasya KagAdAvasattvAt KagaM tyajati KagaityA
128795:3:  te: dikona prayogaH. Kagena tyajyate Kagaityapi prayogaH
128796:1:  te: prAguktarItyA nirasanIyaH. prAYcastu grAmaM gacCati
128797:0:  te: tyajatItyAdO sarvvatra kriyAmAtraM DAtvarTastyajigamyoH
128798:1:  te: paryyAyatve'pi na kzatiH, gatyarTakriyAyAM saMyogasyEva
128799:3:  te: tyajyarTakriyAyAYca viBAgasyEva voDakatAyAH karmapratya
128800:0:  te: yezu vyutpannatvAt taruM tyajatItyAdO saMyogasya taruM
128801:0:  te: gacCatItyAdO ca viBAgasya dvitIyAdito nAvagamaH parErapi
128802:0:  te: samaBivyAhftaDAtvarTatAvacCedakaPalasyEva dvitIyAdiboDya
128803:0:  te: tAvyutpatteraByupetavyatvAt anyaTAtiprasaNgAt. nacEvaM
128804:3:  te: spandona spandaityAderiva tyAgo na gatirityAderapi
